transaction_id,date,product,category,region,channel,quantity,unit_price,discount_pct,customer_id,subtotal,discount_amount,total_revenue,profit_margin
TXN-000001,2024-01-01 00:00:00,Headphones,Peripherals,Central,Partner,24,1034.81,17.02,CUST-0417,24835.44,4226.99,20608.45,34.23
TXN-000002,2024-01-01 04:00:00,Monitor,Peripherals,South,Online,5,650.44,8.49,CUST-0252,3252.2,276.11,2976.09,13.68
TXN-000003,2024-01-01 08:00:00,Keyboard,Peripherals,South,Retail,24,316.77,9.05,CUST-0462,7602.48,688.02,6914.46,25.3
TXN-000004,2024-01-01 12:00:00,Headphones,Peripherals,West,Online,27,911.82,7.86,CUST-0193,24619.14,1935.06,22684.08,20.09
TXN-000005,2024-01-01 16:00:00,Tablet,Peripherals,South,Retail,48,1749.08,17.8,CUST-0025,83955.84,14944.14,69011.7,20.26
TXN-000006,2024-01-01 20:00:00,Webcam,Electronics,East,Partner,30,1145.4,4.04,CUST-0070,34362.0,1388.22,32973.78,24.32
TXN-000007,2024-01-02 00:00:00,Keyboard,Peripherals,North,Partner,15,1757.89,0.33,CUST-0156,26368.35,87.02,26281.33,39.91
TXN-000008,2024-01-02 04:00:00,Keyboard,Peripherals,South,Retail,47,399.79,14.9,CUST-0146,18790.13,2799.73,15990.4,22.25
TXN-000009,2024-01-02 08:00:00,Headphones,Electronics,Central,Retail,38,342.28,23.56,CUST-0319,13006.64,3064.36,9942.28,15.47
TXN-000010,2024-01-02 12:00:00,Phone,Electronics,East,Online,44,1155.4,15.24,CUST-0219,50837.6,7747.65,43089.95,28.41
TXN-000011,2024-01-02 16:00:00,Tablet,Electronics,Central,Partner,34,932.02,19.57,CUST-0049,31688.68,6201.47,25487.21,17.09
TXN-000012,2024-01-02 20:00:00,Headphones,Electronics,East,Online,27,1323.74,16.82,CUST-0379,35740.98,6011.63,29729.35,13.17
TXN-000013,2024-01-03 00:00:00,Tablet,Electronics,South,Retail,20,1591.31,12.44,CUST-0380,31826.2,3959.18,27867.02,11.51
TXN-000014,2024-01-03 04:00:00,Tablet,Electronics,North,Wholesale,41,1505.1,17.96,CUST-0194,61709.1,11082.95,50626.15,10.69
TXN-000015,2024-01-03 08:00:00,Webcam,Peripherals,Central,Wholesale,32,1885.1,20.6,CUST-0040,60323.2,12426.58,47896.62,22.93
TXN-000016,2024-01-03 12:00:00,Keyboard,Peripherals,East,Wholesale,4,802.53,5.62,CUST-0085,3210.12,180.41,3029.71,22.8
TXN-000017,2024-01-03 16:00:00,Monitor,Accessories,West,Retail,5,420.71,8.4,CUST-0343,2103.55,176.7,1926.85,15.57
TXN-000018,2024-01-03 20:00:00,Webcam,Peripherals,South,Online,8,1106.32,5.59,CUST-0450,8850.56,494.75,8355.81,33.52
TXN-000019,2024-01-04 00:00:00,Webcam,Peripherals,North,Partner,22,230.38,11.3,CUST-0336,5068.36,572.72,4495.64,13.88
TXN-000020,2024-01-04 04:00:00,Tablet,Electronics,South,Retail,42,584.81,22.13,CUST-0004,24562.02,5435.58,19126.44,37.46
TXN-000021,2024-01-04 08:00:00,Mouse,Electronics,West,Wholesale,7,423.7,8.63,CUST-0290,2965.9,255.96,2709.94,27.63
TXN-000022,2024-01-04 12:00:00,Keyboard,Peripherals,North,Online,22,799.16,9.36,CUST-0247,17581.52,1645.63,15935.89,10.83
TXN-000023,2024-01-04 16:00:00,Phone,Accessories,West,Partner,46,231.32,21.51,CUST-0005,10640.72,2288.82,8351.9,38.89
TXN-000024,2024-01-04 20:00:00,Webcam,Electronics,South,Partner,30,73.37,12.88,CUST-0497,2201.1,283.5,1917.6,19.24
TXN-000025,2024-01-05 00:00:00,Monitor,Peripherals,East,Retail,37,1317.02,13.39,CUST-0226,48729.74,6524.91,42204.83,23.5
TXN-000026,2024-01-05 04:00:00,Mouse,Peripherals,South,Retail,16,1224.4,21.52,CUST-0150,19590.4,4215.85,15374.55,18.53
TXN-000027,2024-01-05 08:00:00,Mouse,Accessories,South,Partner,15,1419.63,12.26,CUST-0238,21294.45,2610.7,18683.75,31.85
TXN-000028,2024-01-05 12:00:00,Phone,Accessories,South,Partner,5,1324.17,17.04,CUST-0148,6620.85,1128.19,5492.66,24.57
TXN-000029,2024-01-05 16:00:00,Webcam,Electronics,Central,Wholesale,3,237.45,2.14,CUST-0103,712.35,15.24,697.11,13.97
TXN-000030,2024-01-05 20:00:00,Monitor,Accessories,West,Partner,23,589.25,4.47,CUST-0175,13552.75,605.81,12946.94,13.13
TXN-000031,2024-01-06 00:00:00,Keyboard,Peripherals,West,Retail,10,267.76,10.11,CUST-0498,2677.6,270.71,2406.89,31.76
