transaction_id,date,product,category,region,channel,quantity,unit_price,discount_pct,customer_id,subtotal,discount_amount,total_revenue,profit_margin
TXN-000001,2024-01-01 00:00:00,Headphones,Accessories,West,Wholesale,37,242.96,9.45,CUST-0057,8989.52,849.51,8140.01,18.26
TXN-000002,2024-01-01 04:00:00,Monitor,Peripherals,Central,Wholesale,42,903.68,3.58,CUST-0382,37954.56,1358.77,36595.79,21.94
TXN-000003,2024-01-01 08:00:00,Keyboard,Electronics,Central,Partner,37,1228.39,0.46,CUST-0039,45450.43,209.07,45241.36,37.94
TXN-000004,2024-01-01 12:00:00,Headphones,Electronics,North,Online,35,434.04,11.6,CUST-0472,15191.4,1762.2,13429.2,20.15
TXN-000005,2024-01-01 16:00:00,Tablet,Electronics,South,Retail,23,1878.72,23.58,CUST-0289,43210.56,10189.05,33021.51,37.42
TXN-000006,2024-01-01 20:00:00,Webcam,Electronics,Central,Wholesale,6,23.3,8.1,CUST-0443,139.8,11.32,128.48,39.43
TXN-000007,2024-01-02 00:00:00,Keyboard,Electronics,Central,Partner,4,1546.88,16.53,CUST-0018,6187.52,1022.8,5164.72,29.85
TXN-000008,2024-01-02 04:00:00,Keyboard,Electronics,East,Online,18,1254.16,16.31,CUST-0440,22574.88,3681.96,18892.92,34.51
TXN-000009,2024-01-02 08:00:00,Headphones,Electronics,South,Partner,9,753.37,6.28,CUST-0220,6780.33,425.8,6354.53,32.49
TXN-000010,2024-01-02 12:00:00,Phone,Accessories,East,Retail,49,110.47,16.26,CUST-0313,5413.03,880.16,4532.87,30.99
TXN-000011,2024-01-02 16:00:00,Tablet,Peripherals,South,Wholesale,29,1258.7,5.31,CUST-0244,36502.3,1938.27,34564.03,19.21
TXN-000012,2024-01-02 20:00:00,Headphones,Electronics,East,Partner,13,777.37,3.05,CUST-0352,10105.81,308.23,9797.58,11.71
TXN-000013,2024-01-03 00:00:00,Tablet,Accessories,Central,Partner,47,1873.17,17.53,CUST-0460,88038.99,15433.23,72605.76,20.29
TXN-000014,2024-01-03 04:00:00,Tablet,Accessories,Central,Partner,17,1088.56,2.84,CUST-0304,18505.52,525.56,17979.96,30.01
TXN-000015,2024-01-03 08:00:00,Webcam,Peripherals,North,Retail,45,1879.91,24.92,CUST-0298,84595.95,21081.31,63514.64,13.08
TXN-000016,2024-01-03 12:00:00,Keyboard,Electronics,East,Partner,32,448.76,4.59,CUST-0283,14360.32,659.14,13701.18,10.36
TXN-000017,2024-01-03 16:00:00,Monitor,Peripherals,West,Retail,48,1454.19,14.85,CUST-0074,69801.12,10365.47,59435.65,14.19
TXN-000018,2024-01-03 20:00:00,Webcam,Electronics,North,Retail,22,1238.33,10.28,CUST-0110,27243.26,2800.61,24442.65,31.47
TXN-000019,2024-01-04 00:00:00,Webcam,Accessories,East,Retail,4,1481.42,3.16,CUST-0180,5925.68,187.25,5738.43,39.18
TXN-000020,2024-01-04 04:00:00,Tablet,Accessories,East,Wholesale,5,437.19,0.7,CUST-0426,2185.95,15.3,2170.65,39.49
TXN-000021,2024-01-04 08:00:00,Mouse,Accessories,North,Wholesale,37,1333.34,15.57,CUST-0032,49333.58,7681.24,41652.34,24.82
TXN-000022,2024-01-04 12:00:00,Keyboard,Accessories,Central,Partner,41,1001.1,20.17,CUST-0234,41045.1,8278.8,32766.3,36.08
TXN-000023,2024-01-04 16:00:00,Phone,Peripherals,East,Partner,49,1488.22,21.05,CUST-0282,72922.78,15350.25,57572.53,32.1
TXN-000024,2024-01-04 20:00:00,Webcam,Electronics,Central,Wholesale,13,660.82,12.07,CUST-0025,8590.66,1036.89,7553.77,25.03
TXN-000025,2024-01-05 00:00:00,Monitor,Electronics,North,Online,34,1781.21,19.44,CUST-0331,60561.14,11773.09,48788.05,27.18
TXN-000026,2024-01-05 04:00:00,Mouse,Peripherals,Central,Wholesale,45,177.76,16.82,CUST-0279,7999.2,1345.47,6653.73,14.12
TXN-000027,2024-01-05 08:00:00,Mouse,Electronics,South,Retail,22,1616.31,18.11,CUST-0226,35558.82,6439.7,29119.12,38.13
TXN-000028,2024-01-05 12:00:00,Phone,Accessories,West,Wholesale,23,1724.03,12.31,CUST-0057,39652.69,4881.25,34771.44,20.56
TXN-000029,2024-01-05 16:00:00,Webcam,Electronics,East,Retail,3,1636.33,15.84,CUST-0180,4908.99,777.58,4131.41,23.38
TXN-000030,2024-01-05 20:00:00,Monitor,Accessories,West,Partner,42,1030.33,20.14,CUST-0232,43273.86,8715.36,34558.5,30.15
TXN-000031,2024-01-06 00:00:00,Keyboard,Peripherals,Central,Online,34,882.39,9.95,CUST-0382,30001.26,2985.13,27016.13,20.02
TXN-000032,2024-01-06 04:00:00,Laptop,Electronics,East,Partner,32,1992.56,20.15,CUST-0343,63761.92,12848.03,50913.89,17.63
TXN-000033,2024-01-06 08:00:00,Monitor,Peripherals,Central,Retail,45,466.05,14.8,CUST-0477,20972.25,3103.89,17868.36,28.93
TXN-000034,2024-01-06 12:00:00,Phone,Electronics,South,Retail,49,1098.28,4.15,CUST-0287,53815.72,2233.35,51582.37,10.75
TXN-000035,2024-01-06 16:00:00,Mouse,Accessories,North,Retail,21,1344.64,0.62,CUST-0064,28237.44,175.07,28062.37,31.62
